2022-06-22 19:20:27,161, ERROR, Список домашних работ пуст
2022-06-22 19:20:27,161, ERROR, Список домашних работ пуст
2022-06-22 19:25:04,436, ERROR, Список домашних работ пуст
2022-06-22 19:25:04,436, ERROR, Список домашних работ пуст
2022-06-22 21:43:04,124, ERROR, Список домашних работ пуст
2022-06-22 21:43:04,125, ERROR, Список домашних работ пуст
2022-06-22 21:43:55,329, ERROR, Список домашних работ пуст
2022-06-22 21:43:55,329, ERROR, Список домашних работ пуст
2022-06-22 21:44:15,436, ERROR, Список домашних работ пуст
2022-06-22 21:44:15,437, ERROR, Список домашних работ пуст
2022-06-22 21:52:53,709, ERROR, Список домашних работ пуст
2022-06-22 21:52:53,709, ERROR, Список домашних работ пуст
2022-06-22 21:54:40,752, ERROR, Список домашних работ пуст
2022-06-22 21:54:40,753, ERROR, Список домашних работ пуст
2022-06-22 21:56:36,993, ERROR, Chat not found
2022-06-22 21:59:58,546, INFO, Scheduler started
2022-06-22 22:00:38,031, INFO, Received signal 2 (SIGINT), stopping...
2022-06-22 22:00:38,031, INFO, Scheduler has been shut down
2022-06-22 22:00:41,368, ERROR, Chat not found
2022-06-22 22:00:42,529, INFO, Scheduler started
2022-06-22 22:01:59,621, INFO, Received signal 2 (SIGINT), stopping...
2022-06-22 22:01:59,622, INFO, Scheduler has been shut down
2022-06-22 22:01:59,818, WARNING, Exiting immediately!
2022-06-22 22:02:00,903, ERROR, Список домашних работ пуст
2022-06-22 22:02:00,903, ERROR, Список домашних работ пуст
2022-06-22 22:02:13,697, ERROR, Список домашних работ пуст
2022-06-22 22:02:13,697, ERROR, Список домашних работ пуст
2022-06-22 22:02:23,606, ERROR, Список домашних работ пуст
2022-06-22 22:02:23,606, ERROR, Список домашних работ пуст
2022-06-22 22:02:35,737, ERROR, Chat not found
2022-06-22 22:07:27,730, ERROR, Chat not found
2022-06-22 22:07:43,239, ERROR, Chat not found
2022-06-22 22:08:10,176, ERROR, Chat not found
2022-06-22 22:08:33,157, ERROR, Chat not found
2022-06-22 22:16:44,407, ERROR, Chat not found
2022-06-22 22:17:33,558, ERROR, Chat not found
2022-06-22 22:17:48,500, ERROR, Ошибка отправки сообщения в телеграм
2022-06-22 22:18:28,134, ERROR, Ошибка отправки сообщения в телеграм
2022-06-22 22:19:37,395, ERROR, Ошибка отправки сообщения в телеграм
2022-06-22 22:20:04,304, ERROR, Ошибка отправки сообщения в телеграм
2022-06-22 22:20:44,343, ERROR, Список домашних работ пуст
2022-06-22 22:20:44,343, ERROR, Список домашних работ пуст
2022-06-22 22:20:44,804, ERROR, Ошибка отправки сообщения в телеграм
2022-06-22 22:21:26,794, ERROR, Список домашних работ пуст
2022-06-22 22:21:26,794, ERROR, Список домашних работ пуст
2022-06-22 22:22:02,890, ERROR, Chat not found
2022-06-22 22:30:14,019, ERROR, Chat not found
2022-06-22 22:39:43,697, ERROR, Список домашних работ пуст
2022-06-22 22:39:43,697, ERROR, Список домашних работ пуст
2022-06-23 21:44:25,204, ERROR, Список домашних работ пуст
2022-06-23 21:44:25,204, ERROR, Список домашних работ пуст
2022-06-23 21:46:04,339, ERROR, Список домашних работ пуст
2022-06-23 21:46:04,339, ERROR, Список домашних работ пуст
2022-06-23 21:49:42,243, ERROR, Список домашних работ пуст
2022-06-23 21:49:42,243, ERROR, Список домашних работ пуст
2022-06-23 21:49:52,363, ERROR, Список домашних работ пуст
2022-06-23 21:49:52,364, ERROR, Список домашних работ пуст
2022-06-23 21:52:56,298, ERROR, Список домашних работ пуст
2022-06-23 21:52:56,299, ERROR, Список домашних работ пуст
2022-06-23 21:59:48,394, ERROR, Список домашних работ пуст
2022-06-23 21:59:48,394, ERROR, Список домашних работ пуст
2022-06-23 22:01:00,387, ERROR, Список домашних работ пуст
2022-06-23 22:01:00,388, ERROR, Список домашних работ пуст
2022-06-23 22:01:07,504, ERROR, Список домашних работ пуст
2022-06-23 22:01:07,504, ERROR, Список домашних работ пуст
2022-06-23 22:01:14,313, ERROR, Список домашних работ пуст
2022-06-23 22:01:14,313, ERROR, Список домашних работ пуст
2022-06-23 22:14:36,983, ERROR, Список домашних работ пуст
2022-06-23 22:14:36,983, ERROR, Список домашних работ пуст
2022-06-23 22:42:37,350, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:42:37,351, ERROR, Список домашних работ пуст
2022-06-23 22:42:37,351, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 22:42:57,601, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:42:57,602, ERROR, Список домашних работ пуст
2022-06-23 22:42:57,602, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 22:43:22,747, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:43:22,747, ERROR, Список домашних работ пуст
2022-06-23 22:43:22,748, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 22:43:48,146, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:43:48,147, ERROR, Список домашних работ пуст
2022-06-23 22:43:48,147, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 22:44:19,270, ERROR, Список домашних работ пуст
2022-06-23 22:44:19,270, ERROR, Список домашних работ пуст
2022-06-23 22:44:47,711, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:44:47,727, ERROR, Список домашних работ пуст
2022-06-23 22:44:47,727, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 22:45:59,233, ERROR, Список домашних работ пуст
2022-06-23 22:47:47,414, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 22:47:47,414, ERROR, Список домашних работ пуст
2022-06-23 22:47:47,415, ERROR, Ошибка словаря по ключу homeworksили Список домашних работ пуст
2022-06-23 23:05:37,132, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 23:05:37,132, ERROR, Список домашних работ пуст
2022-06-23 23:05:43,137, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 23:05:43,138, ERROR, Список домашних работ пуст
2022-06-23 23:05:48,639, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 23:05:48,640, ERROR, Список домашних работ пуст
2022-06-23 23:05:54,116, ERROR, Ошибка словаря по ключу homeworks
2022-06-23 23:05:54,116, ERROR, Список домашних работ пуст
2022-06-23 23:07:41,241, ERROR, Список домашних работ пуст
2022-06-23 23:07:41,242, ERROR, Список домашних работ пуст
2022-06-23 23:07:47,337, ERROR, Список домашних работ пуст
2022-06-23 23:07:47,337, ERROR, Список домашних работ пуст
2022-06-23 23:07:53,992, ERROR, Список домашних работ пуст
2022-06-23 23:07:53,993, ERROR, Список домашних работ пуст
